item	type	count
WORD/في	word	4670236
WORD/من	word	2874158
WORD/على	word	1357068
WORD/إلى	word	959466
WORD/أن	word	657440
WORD/و	word	544230
WORD/عام	word	522569
WORD/عن	word	510534
WORD/التي	word	509443
WORD/أو	word	467836
WORD/مع	word	424879
WORD/هو	word	418699
WORD/هي	word	352356
WORD/كان	word	342279
WORD/بن	word	325129
WORD/هذه	word	298509
WORD/ما	word	290232
WORD/بعد	word	285549
WORD/الذي	word	283665
WORD/هذا	word	273982
WORD/بين	word	256321
WORD/لا	word	252910
WORD/سنة	word	248064
WORD/حيث	word	239476
WORD/ذلك	word	234325
WORD/حسب	word	234073
WORD/كما	word	216040
WORD/عدد	word	202480
WORD/م	word	201787
WORD/وقد	word	197685
WORD/المتحدة	word	193178
WORD/كانت	word	189238
WORD/تم	word	186847
WORD/قبل	word	184704
WORD/وفي	word	174936
WORD/وهو	word	169732
WORD/خلال	word	163084
WORD/نسمة	word	157599
WORD/عبد	word	156909
WORD/2	word	155230
WORD/كرة	word	154360
WORD/ثم	word	154259
WORD/كل	word	153361
WORD/قد	word	152106
WORD/حتى	word	148324
WORD/غير	word	147739
WORD/لم	word	146043
WORD/مثل	word	145873
WORD/محمد	word	143051
WORD/مدينة	word	140070
WORD/الله	word	139519
WORD/وهي	word	133325
WORD/له	word	133234
WORD/الولايات	word	132076
WORD/بعض	word	131155
WORD/1	word	130617
WORD/العالم	word	119150
WORD/ت	word	116208
WORD/أكثر	word	115533
WORD/العربية	word	115006
WORD/أي	word	113101
WORD/ع	word	112536
WORD/2004	word	111827
WORD/تقع	word	111751
WORD/القرن	word	111700
WORD/سكانها	word	111339
WORD/وكان	word	110913
WORD/فيها	word	110795
WORD/the	word	110656
WORD/أنه	word	108645
WORD/يمكن	word	107388
WORD/قدم	word	105808
WORD/ومن	word	104122
WORD/3	word	101124
WORD/القدم	word	99193
WORD/لكرة	word	98160
WORD/علي	word	97953
WORD/بها	word	94135
WORD/الأول	word	93570
WORD/بـ	word	93257
WORD/أول	word	93213
WORD/ولكن	word	90780
WORD/أحد	word	89728
WORD/المدينة	word	89565
