item	type	count
WORD/der	word	32678615
WORD/die	word	23914685
WORD/und	word	23567348
WORD/in	word	19305633
WORD/von	word	12556936
WORD/im	word	9434147
WORD/den	word	8710045
WORD/des	word	8619704
WORD/mit	word	7835625
WORD/das	word	7366237
WORD/er	word	6557250
WORD/dem	word	5866649
WORD/als	word	5634339
WORD/wurde	word	5570170
WORD/ist	word	5522124
WORD/für	word	5449198
WORD/auf	word	5326708
WORD/zu	word	5176097
WORD/ein	word	5162812
WORD/eine	word	4916659
WORD/an	word	4236820
WORD/sich	word	4175871
WORD/nach	word	3858165
WORD/war	word	3845591
WORD/am	word	3646748
WORD/aus	word	3424686
WORD/bei	word	3332943
WORD/auch	word	3246047
WORD/bis	word	3187959
WORD/sie	word	3121299
WORD/zum	word	2610509
WORD/einer	word	2512191
WORD/es	word	2404348
WORD/durch	word	2230972
WORD/zur	word	2046069
WORD/werden	word	1932987
WORD/einem	word	1931117
WORD/nicht	word	1914754
WORD/sind	word	1884796
WORD/über	word	1865476
WORD/wird	word	1859027
WORD/oder	word	1738810
WORD/um	word	1699922
WORD/einen	word	1647159
WORD/3	word	1631789
WORD/1	word	1486911
WORD/wurden	word	1451228
WORD/unter	word	1445525
WORD/dass	word	1345262
WORD/of	word	1336835
WORD/the	word	1309600
WORD/vor	word	1285936
WORD/vom	word	1283694
WORD/wie	word	1267022
WORD/jahr	word	1219872
WORD/seine	word	1213922
WORD/de	word	1147497
WORD/2	word	1125530
WORD/isbn	word	1111256
WORD/seit	word	1110841
WORD/nur	word	1106296
WORD/ab	word	1072590
WORD/sowie	word	1038174
WORD/seiner	word	1032085
WORD/noch	word	1029681
WORD/sein	word	1019191
WORD/zwei	word	993692
WORD/jahre	word	993478
WORD/diese	word	986335
WORD/zwischen	word	964030
WORD/dieser	word	938489
WORD/aber	word	933044
WORD/hatte	word	929538
WORD/eines	word	922998
WORD/s	word	919080
WORD/hat	word	896409
WORD/so	word	891132
WORD/waren	word	846882
WORD/stadt	word	804379
WORD/mini	word	790542
WORD/ersten	word	789487
WORD/deutscher	word	783997
WORD/jahren	word	779635
WORD/gegen	word	774477
WORD/zeit	word	727284
WORD/berlin	word	701993
WORD/jedoch	word	699415
WORD/a	word	693350
WORD/4	word	686064
WORD/us	word	676545
WORD/während	word	676251
WORD/drei	word	674392
WORD/deutschen	word	667475
WORD/beim	word	667338
WORD/etwa	word	665923
WORD/man	word	663988
WORD/teil	word	659120
WORD/da	word	628687
WORD/später	word	626980
WORD/ihre	word	625390
WORD/wieder	word	606651
WORD/heute	word	599129
WORD/dort	word	586183
WORD/kann	word	570778
WORD/seinen	word	569453
WORD/seinem	word	568066
WORD/gemeinde	word	566862
WORD/5	word	564818
WORD/mehr	word	562190
WORD/august	word	549459
WORD/bereits	word	546762
WORD/erste	word	535139
WORD/mai	word	528573
WORD/liegt	word	520967
WORD/märz	word	518803
WORD/and	word	518351
WORD/januar	word	517130
WORD/band	word	514695
WORD/oktober	word	514679
WORD/ende	word	511918
WORD/6	word	503423
WORD/ihm	word	499257
WORD/kirche	word	494106
WORD/universität	word	491137
WORD/september	word	490418
WORD/april	word	489193
WORD/dann	word	488578
WORD/juni	word	488330
WORD/2010	word	485467
WORD/2008	word	481534
WORD/ihr	word	480843
WORD/juli	word	479367
WORD/deutschland	word	478655
WORD/verlag	word	476360
WORD/konnte	word	475057
WORD/deutsche	word	473468
WORD/2007	word	472537
WORD/2009	word	472454
WORD/2011	word	472310
WORD/dezember	word	470524
WORD/wo	word	470147
WORD/20	word	463552
