item	type	count
WORD/the	word	164051533
WORD/of	word	82943209
WORD/in	word	68261100
WORD/and	word	67205613
WORD/a	word	48564773
WORD/to	word	45576637
WORD/was	word	26384356
WORD/is	word	22109172
WORD/for	word	19906150
WORD/on	word	19172786
WORD/as	word	18857733
WORD/by	word	17332549
WORD/with	word	16456421
WORD/he	word	13486109
WORD/at	word	13177290
WORD/from	word	12501767
WORD/that	word	12448357
WORD/his	word	10864210
WORD/it	word	10219917
WORD/an	word	8942616
WORD/were	word	7019595
WORD/are	word	6777159
WORD/which	word	6575742
WORD/this	word	5890587
WORD/or	word	5581480
WORD/also	word	5580665
WORD/be	word	5573630
WORD/first	word	5336817
WORD/has	word	5179935
WORD/had	word	5044538
WORD/new	word	5024687
WORD/one	word	4735604
WORD/their	word	4470887
WORD/after	word	4375997
WORD/its	word	4284784
WORD/who	word	4229337
WORD/but	word	4080565
WORD/not	word	4043038
WORD/her	word	4010889
WORD/two	word	3887353
WORD/she	word	3859482
WORD/they	word	3800842
WORD/have	word	3640120
WORD/been	word	3276889
WORD/all	word	3209340
WORD/other	word	3057311
WORD/when	word	3000047
WORD/time	word	2964047
WORD/during	word	2900895
WORD/1	word	2727616
WORD/into	word	2703118
WORD/school	word	2637914
WORD/american	word	2635852
WORD/there	word	2585241
WORD/united	word	2573166
WORD/may	word	2552553
WORD/more	word	2406725
WORD/up	word	2360938
WORD/world	word	2350037
WORD/national	word	2342504
WORD/university	word	2327070
WORD/over	word	2314811
WORD/year	word	2307509
WORD/2	word	2279470
WORD/states	word	2275721
WORD/only	word	2272478
WORD/state	word	2269280
WORD/years	word	2266864
WORD/born	word	2263647
WORD/city	word	2215356
WORD/most	word	2178742
WORD/three	word	2133236
WORD/between	word	2125900
WORD/would	word	2119968
WORD/where	word	2095307
WORD/de	word	2077241
WORD/later	word	2068703
WORD/no	word	2043115
WORD/some	word	2020897
WORD/out	word	2011711
WORD/about	word	2004746
WORD/used	word	1965601
WORD/south	word	1950159
WORD/then	word	1947972
WORD/him	word	1937535
WORD/under	word	1934564
WORD/can	word	1932510
WORD/known	word	1920413
WORD/film	word	1911116
WORD/made	word	1910759
WORD/such	word	1903807
WORD/3	word	1897461
WORD/part	word	1871930
WORD/war	word	1865166
WORD/while	word	1849579
WORD/second	word	1812538
WORD/team	word	1792260
WORD/i	word	1785410
WORD/season	word	1770124
WORD/many	word	1768940
WORD/county	word	1753865
WORD/century	word	1749255
WORD/series	word	1745700
WORD/category	word	1720156
WORD/than	word	1714506
WORD/north	word	1712445
WORD/people	word	1691335
WORD/became	word	1671178
WORD/these	word	1665231
WORD/including	word	1643322
WORD/being	word	1642881
WORD/through	word	1641711
WORD/high	word	1613580
WORD/well	word	1610014
WORD/before	word	1601632
WORD/both	word	1589948
WORD/4	word	1583672
WORD/against	word	1485114
WORD/music	word	1472206
WORD/since	word	1454933
WORD/family	word	1453023
WORD/however	word	1451080
WORD/john	word	1441957
WORD/area	word	1436607
WORD/district	word	1435601
WORD/until	word	1433755
WORD/them	word	1421574
WORD/album	word	1417653
WORD/group	word	1411514
WORD/name	word	1406932
WORD/york	word	1391874
WORD/house	word	1389752
WORD/work	word	1383500
WORD/four	word	1374353
WORD/number	word	1372198
WORD/league	word	1367561
WORD/following	word	1342861
WORD/west	word	1334256
WORD/released	word	1327829
WORD/march	word	1327731
WORD/company	word	1319536
WORD/2010	word	1318654
WORD/played	word	1317599
WORD/september	word	1316861
WORD/game	word	1313243
WORD/based	word	1311378
WORD/will	word	1311134
WORD/several	word	1289276
WORD/october	word	1287727
WORD/5	word	1287414
WORD/called	word	1284260
WORD/january	word	1254728
WORD/international	word	1244776
WORD/early	word	1241094
WORD/june	word	1236118
WORD/british	word	1235502
WORD/2008	word	1234680
WORD/2011	word	1228853
WORD/day	word	1221637
WORD/general	word	1217585
WORD/april	word	1212144
WORD/10	word	1211520
WORD/july	word	1210581
WORD/government	word	1210111
WORD/won	word	1203495
WORD/august	word	1202472
WORD/2009	word	1199207
WORD/2006	word	1192279
WORD/best	word	1188844
WORD/november	word	1184264
WORD/2012	word	1180607
WORD/2007	word	1180123
WORD/former	word	1178336
WORD/each	word	1171182
WORD/same	word	1162285
WORD/december	word	1158942
WORD/6	word	1158594
WORD/football	word	1155739
WORD/east	word	1154328
WORD/college	word	1153557
WORD/so	word	1149489
WORD/member	word	1143448
WORD/now	word	1134030
WORD/church	word	1117522
WORD/use	word	1106231
WORD/place	word	1095935
WORD/public	word	1093786
WORD/home	word	1088807
WORD/2013	word	1087898
WORD/end	word	1087333
WORD/club	word	1084200
WORD/if	word	1078428
WORD/2014	word	1073484
WORD/found	word	1070840
WORD/town	word	1069003
WORD/located	word	1068783
WORD/line	word	1068687
WORD/life	word	1065368
WORD/station	word	1057745
WORD/history	word	1056156
WORD/song	word	1053152
WORD/list	word	1052287
WORD/named	word	1050275
WORD/february	word	1046317
WORD/long	word	1041226
WORD/like	word	1029676
WORD/system	word	1028975
WORD/party	word	1026898
WORD/began	word	1012917
WORD/games	word	1007483
WORD/back	word	1002355
WORD/2015	word	1002307
WORD/age	word	1002276
WORD/river	word	1000366
WORD/president	word	996388
WORD/population	word	993534
WORD/service	word	989845
WORD/st	word	985981
WORD/english	word	985262
WORD/held	word	983833
WORD/left	word	977301
WORD/7	word	973289
WORD/2005	word	970597
WORD/around	word	967655
WORD/order	word	963641
WORD/because	word	963012
WORD/any	word	962123
WORD/12	word	960765
WORD/built	word	956118
WORD/local	word	955311
WORD/major	word	951169
WORD/village	word	947240
WORD/show	word	933639
WORD/old	word	933053
WORD/air	word	926549
WORD/members	word	923798
WORD/2016	word	921095
WORD/took	word	917765
WORD/five	word	916146
WORD/single	word	914378
WORD/another	word	911039
WORD/due	word	908854
WORD/along	word	906585
WORD/died	word	899994
WORD/8	word	897952
WORD/london	word	897605
WORD/band	word	896859
WORD/final	word	895056
WORD/within	word	894260
WORD/book	word	893349
WORD/18	word	893054
WORD/french	word	890584
WORD/building	word	888953
WORD/2004	word	887641
WORD/did	word	886357
WORD/third	word	877825
WORD/published	word	875562
WORD/law	word	874844
WORD/could	word	870251
WORD/set	word	870007
WORD/c	word	869658
WORD/served	word	868572
WORD/small	word	867767
WORD/award	word	867735
WORD/player	word	865821
WORD/army	word	863043
WORD/received	word	861158
WORD/ii	word	858992
WORD/main	word	857363
WORD/park	word	857005
WORD/art	word	855856
WORD/off	word	853293
WORD/last	word	852497
WORD/large	word	847499
WORD/15	word	846687
WORD/20	word	842262
WORD/road	word	837511
WORD/television	word	836314
WORD/b	word	835667
WORD/center	word	833608
WORD/german	word	833169
WORD/2000	word	832402
WORD/although	word	821657
WORD/central	word	816760
WORD/death	word	812909
WORD/division	word	812809
WORD/11	word	812199
WORD/species	word	811925
WORD/great	word	809904
WORD/include	word	802426
WORD/top	word	801007
WORD/own	word	796079
WORD/9	word	789852
WORD/times	word	786972
WORD/very	word	784026
WORD/said	word	779428
WORD/those	word	776690
WORD/still	word	771396
WORD/2003	word	769998
WORD/s	word	769702
WORD/la	word	768171
WORD/son	word	767325
WORD/near	word	763254
WORD/community	word	761054
WORD/white	word	759019
WORD/water	word	757654
WORD/play	word	754866
WORD/according	word	752662
WORD/original	word	752047
WORD/included	word	748171
WORD/development	word	746531
WORD/what	word	745915
WORD/side	word	745836
WORD/2017	word	743101
WORD/16	word	741619
WORD/man	word	739963
WORD/country	word	739844
WORD/2002	word	739747
WORD/us	word	737736
WORD/established	word	737698
WORD/often	word	736465
WORD/down	word	735396
WORD/street	word	730863
WORD/power	word	729936
WORD/2001	word	729747
WORD/14	word	728740
WORD/30	word	728575
WORD/you	word	728449
WORD/king	word	728005
WORD/court	word	727539
WORD/research	word	721711
WORD/council	word	721620
WORD/among	word	719897
WORD/field	word	717327
WORD/children	word	716585
WORD/military	word	715588
WORD/late	word	714916
WORD/royal	word	713435
WORD/black	word	712984
WORD/director	word	712271
WORD/form	word	708328
WORD/just	word	704124
WORD/island	word	703434
WORD/william	word	702255
WORD/cup	word	701721
WORD/different	word	700598
WORD/13	word	698600
WORD/summer	word	697810
WORD/led	word	697771
WORD/way	word	695418
WORD/england	word	695235
WORD/record	word	694416
WORD/class	word	693373
WORD/career	word	693011
WORD/six	word	690878
WORD/education	word	690521
WORD/western	word	688104
WORD/co	word	687549
WORD/do	word	685294
WORD/department	word	684464
WORD/much	word	682420
WORD/again	word	681918
WORD/association	word	679752
WORD/title	word	677018
WORD/moved	word	671877
WORD/land	word	670647
WORD/25	word	668829
WORD/head	word	666148
WORD/even	word	663081
WORD/17	word	660935
WORD/students	word	658559
WORD/championship	word	658300
WORD/union	word	658174
WORD/produced	word	654867
WORD/e	word	653897
WORD/m	word	649936
WORD/office	word	649798
WORD/society	word	645641
WORD/radio	word	645366
WORD/james	word	644425
WORD/california	word	643369
WORD/region	word	642908
WORD/site	word	642656
WORD/make	word	642376
WORD/support	word	640522
WORD/force	word	640152
WORD/non	word	639362
WORD/point	word	639161
WORD/father	word	638700
WORD/24	word	637390
WORD/using	word	636606
WORD/right	word	635635
WORD/young	word	635191
WORD/services	word	634587
WORD/political	word	631700
WORD/version	word	631530
WORD/story	word	629090
WORD/given	word	626856
WORD/business	word	626283
WORD/written	word	625292
WORD/next	word	624217
WORD/role	word	623693
WORD/various	word	623419
WORD/having	word	622251
WORD/million	word	621011
WORD/players	word	620923
WORD/1999	word	617312
WORD/live	word	615643
WORD/d	word	615295
WORD/george	word	615209
WORD/short	word	614494
WORD/production	word	613299
WORD/language	word	612623
WORD/france	word	612433
WORD/act	word	612200
WORD/san	word	611728
WORD/period	word	606370
WORD/started	word	606135
WORD/australia	word	605789
WORD/women	word	605593
WORD/red	word	604871
WORD/level	word	604177
WORD/works	word	603726
WORD/came	word	603086
WORD/program	word	602744
WORD/northern	word	601762
WORD/press	word	600907
WORD/election	word	598760
WORD/married	word	598659
WORD/went	word	598291
WORD/india	word	598053
WORD/created	word	597366
WORD/total	word	597034
WORD/become	word	594584
WORD/museum	word	589893
WORD/living	word	587818
WORD/european	word	586131
WORD/take	word	586110
WORD/present	word	584093
WORD/0	word	583202
WORD/social	word	582540
WORD/official	word	579098
WORD/21	word	576501
WORD/open	word	575834
WORD/1998	word	574563
WORD/without	word	570633
WORD/hall	word	570178
WORD/round	word	569790
WORD/project	word	568493
WORD/founded	word	567773
WORD/science	word	567350
WORD/video	word	566590
WORD/per	word	563611
WORD/lost	word	563237
WORD/records	word	563001
WORD/love	word	562387
WORD/run	word	561549
WORD/19	word	560963
WORD/special	word	559804
WORD/david	word	558826
WORD/australian	word	558008
WORD/men	word	556688
WORD/southern	word	555623
WORD/see	word	555248
WORD/al	word	554931
WORD/full	word	554438
WORD/places	word	554347
WORD/professional	word	551939
WORD/board	word	551708
WORD/free	word	548983
WORD/minister	word	548807
WORD/canada	word	546941
WORD/style	word	546467
WORD/days	word	543007
WORD/rock	word	542676
WORD/together	word	542297
WORD/22	word	540907
WORD/few	word	539390
WORD/indian	word	538304
WORD/track	word	538186
WORD/control	word	537912
WORD/worked	word	537834
WORD/1996	word	537231
WORD/design	word	536828
WORD/historic	word	534375
WORD/america	word	531605
WORD/kingdom	word	531232
WORD/though	word	530159
WORD/joined	word	530048
WORD/recorded	word	529322
WORD/every	word	528933
WORD/battle	word	528736
WORD/1997	word	528018
WORD/we	word	527868
WORD/announced	word	527861
WORD/railway	word	526185
WORD/returned	word	523860
WORD/wrote	word	521043
WORD/half	word	520912
WORD/information	word	520812
WORD/described	word	519182
WORD/23	word	515947
WORD/robert	word	514946
WORD/lead	word	511645
WORD/100	word	511054
WORD/modern	word	510736
WORD/position	word	506899
WORD/little	word	504466
WORD/police	word	502450
WORD/making	word	502393
WORD/tv	word	502212
WORD/win	word	501877
WORD/chief	word	501852
WORD/once	word	500950
WORD/post	word	500810
WORD/further	word	499868
WORD/opened	word	499071
WORD/germany	word	498685
WORD/elected	word	496420
WORD/j	word	496125
WORD/race	word	495332
WORD/1995	word	495035
WORD/province	word	494544
WORD/common	word	494079
WORD/areas	word	493820
WORD/case	word	492786
WORD/how	word	492546
WORD/r	word	489717
WORD/considered	word	489640
WORD/continued	word	487341
WORD/match	word	486324
WORD/canadian	word	486058
WORD/thomas	word	485989
WORD/forces	word	485382
WORD/episode	word	485363
WORD/charles	word	484977
WORD/working	word	484854
WORD/wife	word	484694
WORD/lake	word	484204
WORD/human	word	483890
WORD/28	word	483421
WORD/teams	word	482643
WORD/1994	word	482276
WORD/26	word	480887
WORD/1992	word	480775
WORD/eastern	word	480628
WORD/appeared	word	479701
WORD/health	word	479650
WORD/institute	word	478626
WORD/originally	word	478608
WORD/similar	word	477963
WORD/schools	word	476895
WORD/popular	word	476747
WORD/important	word	476448
WORD/others	word	476214
WORD/p	word	476050
WORD/good	word	474939
WORD/star	word	472476
WORD/currently	word	472420
WORD/songs	word	472354
WORD/27	word	471621
WORD/developed	word	470417
WORD/arts	word	470291
WORD/20th	word	469718
WORD/term	word	468582
WORD/event	word	467729
WORD/formed	word	467584
WORD/playing	word	465332
WORD/example	word	464601
WORD/points	word	464492
WORD/release	word	464471
WORD/festival	word	463898
WORD/japanese	word	463214
WORD/events	word	461692
WORD/light	word	461545
WORD/centre	word	460823
WORD/sea	word	460460
WORD/never	word	459591
WORD/my	word	459276
WORD/washington	word	457050
WORD/1993	word	456141
WORD/civil	word	455403
WORD/paul	word	455336
WORD/character	word	455203
WORD/average	word	453745
WORD/books	word	451875
WORD/upon	word	451780
WORD/training	word	451362
WORD/tour	word	451295
WORD/academy	word	450801
WORD/current	word	449899
WORD/himself	word	449243
WORD/seven	word	448833
WORD/night	word	448400
WORD/available	word	447928
WORD/appointed	word	447733
WORD/body	word	445891
WORD/republic	word	445642
WORD/signed	word	445357
WORD/1990	word	444932
WORD/result	word	444820
WORD/uk	word	443944
WORD/1991	word	443672
WORD/construction	word	442097
WORD/fire	word	441883
WORD/china	word	441585
WORD/japan	word	440945
WORD/directed	word	440700
WORD/addition	word	437714
WORD/route	word	437262
WORD/gold	word	437087
WORD/russian	word	435146
WORD/committee	word	434232
WORD/29	word	433748
WORD/space	word	433481
WORD/olympics	word	432916
WORD/away	word	431255
WORD/michael	word	430056
WORD/v	word	429282
WORD/go	word	428574
WORD/films	word	427075
WORD/stage	word	426310
WORD/news	word	425809
WORD/grand	word	425725
WORD/europe	word	425203
WORD/across	word	424586
WORD/debut	word	424413
WORD/throughout	word	423826
WORD/performance	word	423295
WORD/green	word	422843
WORD/type	word	422527
WORD/media	word	421952
WORD/mother	word	421784
WORD/daughter	word	420619
WORD/studies	word	420584
WORD/coach	word	418616
WORD/aircraft	word	417025
WORD/includes	word	416968
WORD/study	word	416152
WORD/should	word	415867
WORD/sold	word	413994
WORD/performed	word	412684
WORD/network	word	412385
WORD/brother	word	411289
WORD/middle	word	411288
WORD/designed	word	410694
WORD/re	word	410380
WORD/taken	word	409285
WORD/front	word	408480
WORD/rights	word	407806
WORD/does	word	407737
WORD/census	word	407442
WORD/1989	word	407397
WORD/range	word	407232
WORD/eventually	word	406420
WORD/italian	word	405882
WORD/seen	word	405280
WORD/less	word	405168
WORD/largest	word	404988
WORD/cross	word	404573
WORD/1988	word	403886
WORD/completed	word	403520
WORD/big	word	402694
WORD/get	word	401860
WORD/magazine	word	401814
WORD/return	word	401573
WORD/model	word	399526
WORD/awards	word	399464
WORD/federal	word	398947
WORD/despite	word	398686
WORD/low	word	398433
WORD/must	word	397603
WORD/african	word	397355
WORD/features	word	396898
WORD/killed	word	396427
WORD/henry	word	396357
WORD/professor	word	395750
WORD/process	word	395272
WORD/private	word	394970
WORD/sports	word	394780
WORD/chinese	word	394364
WORD/help	word	393681
WORD/saint	word	393274
WORD/h	word	392703
WORD/usually	word	390177
WORD/texas	word	387842
WORD/technology	word	387682
WORD/me	word	387533
WORD/featured	word	384989
WORD/spanish	word	384791
WORD/groups	word	384031
WORD/buildings	word	383982
WORD/roman	word	383137
WORD/action	word	382623
WORD/ireland	word	382520
WORD/conference	word	382246
WORD/months	word	382137
WORD/eight	word	382084
WORD/leading	word	381925
WORD/car	word	381772
WORD/los	word	381387
WORD/f	word	380919
WORD/gave	word	380828
WORD/data	word	380814
WORD/section	word	380601
WORD/followed	word	380492
WORD/management	word	378752
WORD/independent	word	377475
WORD/medical	word	376699
WORD/listed	word	375325
WORD/ten	word	374855
WORD/1987	word	374158
WORD/richard	word	373789
WORD/paris	word	373099
WORD/fourth	word	372562
WORD/hill	word	372557
WORD/peter	word	372405
WORD/above	word	371940
WORD/blue	word	371056
WORD/catholic	word	370923
WORD/31	word	370911
WORD/finished	word	369697
WORD/families	word	369685
WORD/base	word	368884
WORD/bank	word	368456
WORD/edition	word	368360
WORD/coast	word	368237
WORD/1986	word	368157
WORD/systems	word	367517
WORD/competition	word	367147
WORD/instead	word	366808
WORD/collection	word	366520
WORD/website	word	366383
WORD/real	word	366099
WORD/artist	word	365483
WORD/officer	word	365433
WORD/africa	word	364392
WORD/close	word	364195
WORD/female	word	364074
WORD/w	word	363983
WORD/thus	word	363894
WORD/library	word	363684
WORD/1984	word	363419
WORD/t	word	363008
WORD/x	word	362143
WORD/capital	word	361490
WORD/bridge	word	361468
WORD/dr	word	361468
WORD/medal	word	361450
WORD/awarded	word	361332
WORD/either	word	360429
WORD/countries	word	360014
WORD/bay	word	359648
WORD/reported	word	359573
WORD/singer	word	359392
WORD/remained	word	358958
WORD/winning	word	358459
WORD/valley	word	358051
WORD/mark	word	357813
WORD/theatre	word	356845
WORD/change	word	356764
WORD/lower	word	356722
WORD/movement	word	356516
WORD/1985	word	355403
WORD/writer	word	354840
WORD/studio	word	354438
WORD/ground	word	353880
WORD/week	word	353843
WORD/via	word	353784
WORD/added	word	353669
WORD/leader	word	353530
WORD/novel	word	353266
WORD/attack	word	352833
WORD/able	word	352773
WORD/governor	word	351240
WORD/register	word	350978
WORD/campaign	word	350955
WORD/1980	word	350593
WORD/senior	word	350002
WORD/natural	word	349726
WORD/championships	word	349342
WORD/christian	word	348939
WORD/navy	word	348723
WORD/involved	word	348369
WORD/tournament	word	347954
WORD/units	word	347672
WORD/organization	word	347523
WORD/market	word	347484
WORD/related	word	347157
