item	type	count
WORD/de	word	51086447
WORD/la	word	25391729
WORD/en	word	21679886
WORD/el	word	19502182
WORD/y	word	16154836
WORD/a	word	10871495
WORD/que	word	9680096
WORD/del	word	9153541
WORD/los	word	8678511
WORD/se	word	6873619
WORD/por	word	6150919
WORD/un	word	5843358
WORD/con	word	5555380
WORD/las	word	5289576
WORD/una	word	5174073
WORD/su	word	4772697
WORD/es	word	3969977
WORD/como	word	3495279
WORD/para	word	3482446
WORD/al	word	3405126
WORD/fue	word	2740435
WORD/más	word	1938378
WORD/no	word	1844326
WORD/o	word	1670594
WORD/sus	word	1529424
WORD/lo	word	1401685
WORD/entre	word	1233783
WORD/también	word	1125417
WORD/the	word	1059314
WORD/este	word	1001626
WORD/años	word	926315
WORD/dos	word	906828
WORD/desde	word	876067
WORD/son	word	840710
WORD/pero	word	838123
WORD/año	word	834256
WORD/sobre	word	827794
WORD/le	word	823240
WORD/esta	word	814522
WORD/hasta	word	806471
WORD/durante	word	784188
WORD/parte	word	755825
WORD/ha	word	754093
WORD/donde	word	736239
WORD/of	word	736046
WORD/ciudad	word	720819
WORD/ser	word	716695
WORD/1	word	702159
WORD/era	word	690630
WORD/sin	word	671230
WORD/san	word	636031
WORD/después	word	630011
WORD/primera	word	621353
WORD/cuando	word	601440
WORD/2	word	597546
WORD/está	word	597473
WORD/e	word	569078
WORD/siglo	word	568231
WORD/gran	word	550366
WORD/tiene	word	539286
WORD/estados	word	515573
WORD/nacional	word	509137
WORD/ya	word	500575
WORD/3	word	497703
WORD/primer	word	494798
WORD/nombre	word	485867
WORD/otros	word	478484
WORD/uno	word	477201
WORD/fueron	word	473125
WORD/había	word	472901
WORD/unidos	word	470468
WORD/españa	word	467822
WORD/estado	word	457802
WORD/thumb	word	455155
WORD/así	word	447374
WORD/puede	word	433961
WORD/mismo	word	431719
WORD/cual	word	427190
WORD/tres	word	426668
WORD/tras	word	420248
WORD/población	word	419219
WORD/vez	word	416051
WORD/redirección	word	415574
WORD/muy	word	415163
WORD/nueva	word	412745
WORD/forma	word	405838
WORD/universidad	word	403335
WORD/eran	word	397749
WORD/grupo	word	386278
WORD/además	word	383225
WORD/mayor	word	380740
WORD/general	word	379761
WORD/4	word	378654
WORD/aunque	word	378276
WORD/lugar	word	377571
WORD/guerra	word	371443
WORD/según	word	370527
WORD/familia	word	367186
WORD/encuentra	word	358359
WORD/2010	word	357969
WORD/club	word	354538
WORD/sur	word	353806
WORD/contra	word	353311
WORD/provincia	word	352596
WORD/equipo	word	350561
WORD/todo	word	348735
WORD/serie	word	347241
