item	type	count
WORD/de	word	53384953
WORD/la	word	27945339
WORD/le	word	21749713
WORD/et	word	19414192
WORD/à	word	18285145
WORD/en	word	15812823
WORD/les	word	13214452
WORD/des	word	12781645
WORD/du	word	12315554
WORD/est	word	9677883
WORD/un	word	7851250
WORD/dans	word	7450278
WORD/il	word	6860483
WORD/par	word	6595326
WORD/une	word	6578522
WORD/pour	word	6118829
WORD/au	word	5948905
WORD/sur	word	4881429
WORD/qui	word	4632227
WORD/que	word	4372357
WORD/a	word	4161090
WORD/avec	word	3544420
WORD/son	word	3282936
WORD/plus	word	2907988
WORD/se	word	2771475
WORD/ce	word	2527264
WORD/ou	word	2489126
WORD/sont	word	2462212
WORD/pas	word	2444689
WORD/sa	word	2059231
WORD/aux	word	1983319
WORD/elle	word	1974833
WORD/ne	word	1888739
WORD/cette	word	1762349
WORD/comme	word	1736778
WORD/mais	word	1726883
WORD/été	word	1655910
WORD/recens	word	1589779
WORD/deux	word	1587473
WORD/ref	word	1567739
WORD/ses	word	1561253
WORD/pop	word	1555946
WORD/fait	word	1286627
WORD/true	word	1273349
WORD/the	word	1180400
WORD/nil	word	1172587
WORD/même	word	1167041
WORD/entre	word	1146782
WORD/je	word	1133197
WORD/on	word	1131767
WORD/sous	word	1112864
WORD/après	word	1099540
WORD/france	word	1087705
WORD/saint	word	1086293
WORD/cet	word	1021317
WORD/ont	word	994632
WORD/lui	word	967466
WORD/2	word	945722
WORD/être	word	934180
WORD/dont	word	925450
WORD/leur	word	911610
WORD/cest	word	907580
WORD/1	word	884600
WORD/aussi	word	880702
WORD/paris	word	865429
WORD/y	word	864282
WORD/nom	word	862624
WORD/ainsi	word	856568
WORD/depuis	word	854888
WORD/où	word	833619
WORD/peut	word	829347
WORD/ces	word	826657
WORD/alors	word	823340
WORD/premier	word	820637
WORD/français	word	797565
WORD/commune	word	795247
WORD/était	word	790355
WORD/jean	word	782413
WORD/fut	word	778244
WORD/lors	word	772404
WORD/si	word	762335
WORD/of	word	759079
WORD/première	word	751457
WORD/ville	word	742712
WORD/également	word	736032
WORD/tout	word	735776
WORD/ans	word	729803
WORD/3	word	703256
WORD/puis	word	682554
WORD/années	word	678393
WORD/bien	word	675381
WORD/contre	word	668695
WORD/10	word	662854
WORD/partie	word	657081
WORD/très	word	647963
WORD/trois	word	647837
WORD/2006	word	636030
WORD/grand	word	634122
WORD/nord	word	633779
WORD/sud	word	628840
WORD/non	word	627808
WORD/sans	word	612530
WORD/plusieurs	word	610023
WORD/vers	word	606270
WORD/4	word	602483
WORD/monde	word	593083
WORD/d	word	583468
WORD/ils	word	582799
WORD/guerre	word	582399
WORD/groupe	word	580485
WORD/2011	word	575421
WORD/avant	word	574923
WORD/faire	word	574414
WORD/né	word	565877
WORD/2007	word	564673
WORD/2010	word	558060
WORD/2008	word	554739
WORD/pays	word	545294
WORD/2009	word	541685
WORD/2012	word	539910
WORD/fr	word	531746
WORD/fois	word	530912
WORD/2013	word	512411
WORD/2014	word	509169
WORD/temps	word	508778
WORD/mars	word	504534
WORD/fin	word	504051
WORD/site	word	502715
WORD/mort	word	500453
WORD/film	word	487494
WORD/tous	word	484900
WORD/2015	word	483868
WORD/titre	word	481050
WORD/janvier	word	480025
WORD/juin	word	476477
WORD/5	word	476029
WORD/autres	word	475240
WORD/https	word	471682
WORD/population	word	471573
WORD/mai	word	470791
WORD/donc	word	470029
WORD/2016	word	469890
WORD/pierre	word	464628
WORD/série	word	462548
WORD/septembre	word	460773
WORD/suite	word	460694
WORD/liste	word	459523
WORD/peu	word	456810
WORD/6	word	456798
WORD/selon	word	450527
WORD/saison	word	448659
WORD/soit	word	444066
WORD/française	word	443920
WORD/moins	word	443236
WORD/place	word	442769
WORD/famille	word	440204
WORD/12	word	439969
WORD/juillet	word	439412
WORD/communes	word	438104
WORD/15	word	437532
WORD/grande	word	436605
WORD/avoir	word	436281
WORD/statistiques	word	436029
WORD/états	word	434935
WORD/octobre	word	434577
WORD/nouvelle	word	433409
WORD/général	word	432165
WORD/décembre	word	430725
WORD/encore	word	423735
WORD/20	word	421383
WORD/vous	word	420195
WORD/avril	word	419867
WORD/novembre	word	419666
WORD/notamment	word	419335
WORD/pendant	word	414831
WORD/avait	word	411533
WORD/lieu	word	410721
WORD/région	word	410612
WORD/11	word	401167
WORD/cours	word	401093
WORD/14	word	400578
WORD/prix	word	399121
WORD/août	word	398817
WORD/février	word	398262
WORD/com	word	396610
WORD/geo	word	395981
WORD/nouveau	word	393752
WORD/18	word	393241
WORD/16	word	392915
WORD/2005	word	390710
WORD/leurs	word	390457
WORD/in	word	387170
WORD/celui	word	382448
WORD/ci	word	381137
WORD/centre	word	379559
WORD/quelques	word	379025
WORD/13	word	378856
WORD/club	word	376879
WORD/tour	word	376492
WORD/vie	word	373220
WORD/17	word	372949
WORD/ligne	word	370679
WORD/politique	word	370276
WORD/page	word	368070
WORD/quatre	word	365322
WORD/unis	word	363544
WORD/partir	word	359922
WORD/cas	word	358128
WORD/forme	word	357731
WORD/habitants	word	357156
WORD/and	word	355660
WORD/7	word	354659
WORD/fils	word	345653
WORD/8	word	344923
WORD/début	word	342117
WORD/19	word	341807
WORD/louis	word	341453
WORD/village	word	339280
WORD/discuter	word	339273
WORD/devient	word	336650
WORD/celle	word	336430
WORD/société	word	332798
WORD/21	word	332230
WORD/nombre	word	330040
WORD/22	word	327310
WORD/national	word	325638
WORD/roi	word	324258
WORD/président	word	321787
WORD/2017	word	320017
WORD/2004	word	319278
WORD/part	word	315710
WORD/23	word	314885
WORD/me	word	312537
WORD/département	word	311951
WORD/jeux	word	310589
WORD/située	word	309394
WORD/championnat	word	308451
WORD/autre	word	305721
WORD/durant	word	305486
WORD/doit	word	304299
