item	type	count
WORD/di	word	20139841
WORD/e	word	12064220
WORD/il	word	10486034
WORD/la	word	9888134
WORD/in	word	7856618
WORD/a	word	6811053
WORD/del	word	6478904
WORD/che	word	5301662
WORD/è	word	5085293
WORD/della	word	4999667
WORD/un	word	4891170
WORD/per	word	4632899
WORD/nel	word	4368896
WORD/con	word	3840963
WORD/i	word	3605468
WORD/una	word	3548320
WORD/da	word	3522369
WORD/si	word	3089925
WORD/le	word	3006721
WORD/al	word	2889783
WORD/dei	word	2115291
WORD/alla	word	1859317
WORD/nella	word	1746918
WORD/come	word	1722426
WORD/non	word	1713865
WORD/dal	word	1576389
WORD/delle	word	1501161
WORD/più	word	1412761
WORD/ha	word	1402876
WORD/sono	word	1382705
WORD/anche	word	1346415
WORD/fu	word	1286891
WORD/gli	word	1264628
WORD/n	word	1214725
WORD/ad	word	1149193
WORD/ed	word	1098003
WORD/the	word	1062113
WORD/sua	word	1026070
WORD/tra	word	989761
WORD/ma	word	986657
WORD/lo	word	976645
WORD/o	word	975562
WORD/due	word	973923
WORD/suo	word	972176
WORD/dalla	word	967167
WORD/dopo	word	946197
WORD/era	word	928602
WORD/cui	word	895777
WORD/prima	word	889626
WORD/stato	word	866719
WORD/parte	word	845879
WORD/su	word	785609
WORD/anni	word	781611
WORD/degli	word	758922
WORD/de	word	747170
WORD/regia	word	676242
WORD/ai	word	646184
WORD/serie	word	621907
WORD/essere	word	604945
WORD/of	word	604309
WORD/viene	word	587985
WORD/questo	word	587920
WORD/film	word	560998
WORD/2	word	551944
WORD/loro	word	546795
WORD/sul	word	534146
WORD/città	word	511685
WORD/1	word	510858
WORD/italiano	word	507811
WORD/nei	word	507431
WORD/uno	word	505323
WORD/primo	word	496703
WORD/alle	word	483225
WORD/nelle	word	477615
WORD/venne	word	476308
WORD/san	word	474309
WORD/3	word	471435
WORD/durante	word	463441
WORD/dove	word	460910
WORD/mentre	word	452426
WORD/poi	word	447862
WORD/questa	word	444635
WORD/sulla	word	441372
WORD/secondo	word	439510
WORD/solo	word	435523
WORD/quando	word	432436
WORD/se	word	427788
WORD/fino	word	395599
WORD/nome	word	394595
WORD/altri	word	393601
WORD/4	word	388023
WORD/quale	word	385373
WORD/tre	word	385007
WORD/stati	word	376007
WORD/stata	word	372155
WORD/contro	word	360676
WORD/suoi	word	359624
WORD/sia	word	359532
WORD/comune	word	356988
WORD/stesso	word	352965
WORD/dai	word	352721
WORD/6	word	348228
WORD/hanno	word	348158
WORD/dello	word	347712
WORD/molto	word	335389
WORD/roma	word	331952
WORD/gruppo	word	331276
WORD/stagione	word	331270
WORD/secolo	word	322528
WORD/seguito	word	321432
WORD/chiesa	word	318514
WORD/grande	word	315935
WORD/aveva	word	313310
WORD/guerra	word	312244
WORD/5	word	311939
WORD/volta	word	307480
WORD/erano	word	307003
WORD/fine	word	303526
WORD/può	word	302114
WORD/così	word	299329
WORD/tempo	word	299075
WORD/alcuni	word	296303
WORD/tutti	word	295986
WORD/furono	word	292342
WORD/negli	word	289020
WORD/statunitense	word	288214
WORD/seconda	word	287537
WORD/quella	word	282437
WORD/vita	word	279586
WORD/sempre	word	276707
WORD/and	word	268847
WORD/quindi	word	267075
WORD/storia	word	266140
WORD/circa	word	264851
WORD/quello	word	264766
WORD/ancora	word	263206
WORD/mondo	word	258666
WORD/famiglia	word	255937
WORD/sotto	word	254529
WORD/nazionale	word	251887
WORD/milano	word	250749
WORD/oltre	word	248611
WORD/inoltre	word	247977
WORD/quali	word	247304
WORD/francese	word	245008
WORD/nuovo	word	245004
WORD/ogni	word	243422
WORD/senza	word	241615
WORD/casa	word	241158
WORD/dalle	word	240523
WORD/2010	word	240441
WORD/ex	word	238909
WORD/titolo	word	237630
WORD/via	word	237560
WORD/italia	word	236862
WORD/finale	word	236694
WORD/sue	word	236125
WORD/altre	word	234985
WORD/2008	word	233764
WORD/tv	word	233705
WORD/vi	word	232376
WORD/verso	word	230969
WORD/già	word	230534
WORD/2009	word	230500
WORD/2011	word	228971
WORD/italiana	word	226356
WORD/2007	word	225598
WORD/7	word	225472
WORD/posto	word	225344
WORD/10	word	225105
WORD/2012	word	222152
WORD/presso	word	221868
WORD/questi	word	221706
WORD/aver	word	220937
WORD/periodo	word	219972
WORD/ne	word	218512
WORD/squadra	word	218484
WORD/maggio	word	218262
WORD/numero	word	218098
WORD/settembre	word	216655
WORD/fatto	word	216599
WORD/2006	word	216513
WORD/fra	word	215657
WORD/ii	word	215470
WORD/proprio	word	214555
WORD/però	word	214421
WORD/generale	word	214200
WORD/2013	word	213176
WORD/nuova	word	212898
WORD/campionato	word	211876
WORD/tutto	word	211481
WORD/giugno	word	210411
WORD/new	word	210139
WORD/insieme	word	209342
WORD/agli	word	209237
WORD/fa	word	207538
WORD/gennaio	word	207508
WORD/morte	word	207499
WORD/quattro	word	207408
WORD/anno	word	207231
WORD/modo	word	207146
WORD/lui	word	206889
WORD/centro	word	204530
WORD/luglio	word	204449
WORD/marzo	word	204357
WORD/dicembre	word	202237
WORD/calciatore	word	201847
WORD/quanto	word	199008
WORD/re	word	198646
WORD/2005	word	198445
WORD/2014	word	195604
WORD/maria	word	195050
WORD/nord	word	194952
WORD/invece	word	194085
WORD/giovanni	word	194080
WORD/causa	word	193402
WORD/novembre	word	191680
WORD/8	word	189836
WORD/grazie	word	188390
WORD/alcune	word	187880
WORD/figlio	word	186732
WORD/abitanti	word	186476
WORD/tuttavia	word	186315
WORD/nello	word	186059
WORD/provincia	word	184434
WORD/uniti	word	184123
WORD/infatti	word	183525
WORD/2004	word	183350
WORD/trova	word	183035
WORD/15	word	182290
WORD/corso	word	181604
WORD/12	word	180288
WORD/pubblicato	word	179249
WORD/sud	word	178893
