item	type	count
WORD/の	word	42531931
WORD/、	word	37474224
WORD/。	word	28012596
WORD/に	word	23511842
WORD/を	word	19895873
WORD/は	word	19894989
WORD/た	word	17901947
WORD/が	word	16136822
WORD/で	word	15493589
WORD/年	word	14645265
WORD/）	word	14471480
WORD/（	word	14187492
WORD/と	word	12066959
WORD/て	word	11969510
WORD/し	word	10732240
WORD/-	word	8879291
WORD/・	word	7248581
WORD/月	word	7035766
WORD/れ	word	6340541
WORD/さ	word	6048041
WORD/「	word	6025510
WORD/」	word	5861948
WORD/日	word	5347888
WORD/:	word	5005731
WORD/いる	word	4691526
WORD/する	word	4682492
WORD/ある	word	4540039
WORD/も	word	4387118
WORD/から	word	3731721
WORD/1	word	3542818
WORD/『	word	3432064
WORD/category	word	3422487
WORD/』	word	3301352
WORD/2	word	3215721
WORD/こと	word	2937554
WORD/な	word	2804538
WORD/3	word	2722604
WORD/(	word	2663765
WORD/：	word	2592807
WORD/い	word	2486808
WORD/4	word	2343715
WORD/として	word	2286850
WORD/)	word	2277399
WORD/第	word	2272269
WORD/.	word	2230906
WORD/や	word	2045555
WORD/日本	word	1850921
WORD/れる	word	1844078
WORD/なっ	word	1793780
WORD/ない	word	1773448
WORD/など	word	1695885
WORD/市	word	1651443
WORD/,	word	1638030
WORD/5	word	1616928
WORD/人	word	1581381
WORD/県	word	1577249
WORD/ため	word	1574683
WORD/　	word	1547779
WORD/者	word	1506121
WORD/この	word	1429564
WORD/的	word	1402661
WORD/6	word	1378262
WORD/10	word	1362088
WORD/7	word	1274013
WORD/その	word	1261001
WORD/なる	word	1192032
WORD/8	word	1184083
WORD/へ	word	1175857
WORD/駅	word	1173573
WORD/9	word	1120905
WORD//	word	1077527
WORD/よう	word	1076265
WORD/後	word	1076179
WORD/あっ	word	1070569
WORD/まで	word	1057997
WORD/12	word	1048788
WORD/あり	word	989774
WORD/町	word	978438
WORD/中	word	973014
WORD/11	word	967594
WORD/られ	word	967293
WORD/という	word	959737
WORD/また	word	934778
WORD/もの	word	916492
WORD/だ	word	859088
WORD/一	word	801626
WORD/家	word	799936
WORD/号	word	790281
WORD/回	word	767311
WORD/か	word	754730
WORD/時	word	749248
WORD/|	word	744941
WORD/より	word	735448
WORD/||	word	713452
WORD/おり	word	705940
WORD/により	word	702465
WORD/部	word	691982
WORD/昭和	word	676980
WORD/放送	word	671894
WORD/〜	word	633593
WORD/東京	word	629357
WORD/会	word	617314
WORD/出身	word	617112
WORD/による	word	616444
WORD/人物	word	616204
WORD/村	word	614667
WORD/大	word	614004
WORD/選手	word	609001
WORD/によって	word	594352
WORD/線	word	585524
WORD/化	word	573005
WORD/現在	word	572923
WORD/これ	word	571319
WORD/世界	word	566477
WORD/二	word	565220
WORD/郡	word	563878
WORD/学校	word	563844
WORD/名	word	563278
WORD/ず	word	559194
WORD/本	word	541889
WORD/作品	word	537063
WORD/時代	word	535524
WORD/区	word	535070
WORD/映画	word	526756
WORD/20	word	523214
WORD/the	word	522866
WORD/0	word	507121
WORD/上	word	505892
WORD/話	word	505442
WORD/位	word	505108
WORD/だっ	word	502925
WORD/前	word	498802
WORD/なり	word	494366
WORD/州	word	492079
WORD/元	word	491129
WORD/平成	word	489567
WORD/せ	word	486569
WORD/間	word	479558
WORD/番組	word	477918
WORD/三	word	475298
WORD/15	word	474543
WORD/使用	word	473531
WORD/版	word	470082
WORD/"	word	460749
WORD/登場	word	460585
WORD/場合	word	457756
WORD/国	word	455953
WORD/う	word	455761
WORD/30	word	449456
WORD/性	word	449096
WORD/発売	word	447874
WORD/軍	word	447428
WORD/戦	word	445432
WORD/なかっ	word	445124
WORD/なく	word	442548
WORD/できる	word	440758
WORD/m	word	439500
WORD/他	word	435161
WORD/ば	word	434439
WORD/大学	word	434204
WORD/2010	word	433915
WORD/られる	word	424877
WORD/社	word	424875
WORD/a	word	424409
WORD/型	word	421920
WORD/役	word	418364
WORD/において	word	417541
WORD/2009	word	410668
WORD/について	word	407854
WORD/研究	word	406990
WORD/2007	word	406081
WORD/2008	word	405867
WORD/監督	word	404497
WORD/2012	word	401958
WORD/新	word	401601
WORD/2011	word	400977
WORD/鉄道	word	400725
WORD/その後	word	399680
WORD/目	word	398899
WORD/行わ	word	398461
WORD/内	word	398313
WORD/それ	word	394834
WORD/機	word	393195
WORD/数	word	392090
WORD/テレビ	word	389195
WORD/分	word	388456
WORD/系	word	387082
WORD/2013	word	383709
WORD/のみ	word	383298
WORD/道	word	383021
WORD/初	word	381483
WORD/16	word	381082
WORD/!	word	380165
WORD/13	word	378339
WORD/18	word	378010
WORD/2006	word	377484
WORD/作曲	word	374843
WORD/25	word	373035
WORD/2014	word	372979
WORD/存在	word	370693
WORD/出演	word	370424
WORD/賞	word	369159
WORD/所	word	366949
WORD/たち	word	364665
WORD/しかし	word	363527
WORD/等	word	360135
WORD/14	word	360031
WORD/曲	word	359029
WORD/2015	word	357307
WORD/アメリカ	word	356726
WORD/19	word	356414
WORD/多く	word	356389
WORD/21	word	355236
WORD/17	word	350989
WORD/開始	word	346700
WORD/き	word	345256
WORD/万	word	337631
WORD/作	word	337057
WORD/2005	word	335061
WORD/受け	word	334307
WORD/局	word	333219
WORD/活動	word	332550
WORD/同	word	331687
WORD/2016	word	331461
WORD/当時	word	327184
WORD/代表	word	325811
WORD/歳	word	324589
WORD/of	word	323710
WORD/可能	word	323174
WORD/22	word	322900
WORD/次	word	321206
WORD/シリーズ	word	320981
WORD/つ	word	318543
WORD/時間	word	318073
WORD/一部	word	315617
WORD/大会	word	314972
WORD/24	word	313266
WORD/地	word	312436
WORD/'	word	311520
WORD/約	word	311347
WORD/お	word	310863
WORD/用	word	310211
WORD/学	word	310191
WORD/長	word	308290
WORD/車	word	307579
WORD/法	word	305749
WORD/形	word	305745
WORD/ゲーム	word	305716
WORD/明治	word	305187
WORD/際	word	304721
WORD/呼ば	word	303962
WORD/s	word	303927
WORD/でき	word	303848
