item	type	count
WORD/de	word	19371932
WORD/van	word	10526979
WORD/in	word	8744802
WORD/het	word	7813058
WORD/een	word	6847397
WORD/en	word	6179690
WORD/is	word	4275649
WORD/voor	word	2657283
WORD/op	word	2618842
WORD/door	word	2165980
WORD/met	word	2126141
WORD/zijn	word	1990226
WORD/uit	word	1904873
WORD/hij	word	1871311
WORD/werd	word	1849188
WORD/te	word	1553679
WORD/die	word	1405255
WORD/als	word	1401675
WORD/aan	word	1312677
WORD/was	word	1312239
WORD/dat	word	1218354
WORD/tot	word	1091280
WORD/naam	word	961974
WORD/bij	word	958925
WORD/ook	word	933846
WORD/familie	word	898711
WORD/soort	word	893121
WORD/eerst	word	875042
WORD/of	word	824206
WORD/naar	word	768729
WORD/wetenschappelijke	word	768464
WORD/gepubliceerd	word	768205
WORD/deze	word	757742
WORD/geldig	word	742694
WORD/om	word	715215
WORD/er	word	702184
WORD/wordt	word	677710
WORD/ze	word	657898
WORD/niet	word	638505
WORD/maar	word	552470
WORD/worden	word	545033
WORD/dit	word	513735
WORD/the	word	502910
WORD/onder	word	481234
WORD/zich	word	470403
WORD/na	word	464238
WORD/heeft	word	458870
WORD/eerste	word	458012
WORD/plaats	word	453244
WORD/over	word	422468
WORD/haar	word	383872
WORD/jaar	word	355654
WORD/meer	word	343695
WORD/nog	word	343056
WORD/werden	word	342226
WORD/twee	word	341139
WORD/dan	word	338367
WORD/andere	word	335298
WORD/gemeente	word	328365
WORD/inwoners	word	310028
WORD/deel	word	309247
WORD/1	word	309079
WORD/tussen	word	294981
WORD/had	word	286820
WORD/hun	word	258276
WORD/2	word	252549
WORD/kan	word	249213
WORD/waren	word	248527
WORD/al	word	248233
WORD/tijdens	word	244527
WORD/waar	word	242116
WORD/tweede	word	238902
WORD/tegen	word	224210
WORD/komt	word	221484
WORD/zij	word	218642
WORD/later	word	217815
WORD/hebben	word	212425
WORD/veel	word	212103
WORD/grote	word	211886
WORD/staat	word	210994
WORD/km	word	210695
WORD/thumb	word	205026
WORD/geen	word	204526
WORD/geslacht	word	201302
WORD/zou	word	201212
WORD/nieuwe	word	200630
WORD/hem	word	197771
WORD/aantal	word	194253
WORD/stad	word	193836
WORD/toen	word	190861
WORD/3	word	190316
WORD/zoals	word	189425
WORD/telt	word	189075
WORD/echter	word	188711
WORD/jaren	word	186311
WORD/kwam	word	184700
WORD/wel	word	180667
WORD/drie	word	179046
WORD/nederlandse	word	177945
WORD/2010	word	173296
WORD/men	word	171409
WORD/eeuw	word	171127
WORD/ten	word	170860
WORD/provincie	word	169894
WORD/²	word	167597
WORD/a	word	166769
WORD/vanaf	word	166286
WORD/zo	word	162522
WORD/kunnen	word	160121
WORD/alle	word	159795
WORD/der	word	159747
WORD/samen	word	157954
WORD/nederland	word	157271
WORD/gebied	word	155134
WORD/tijd	word	153671
WORD/vlinder	word	152306
WORD/nederlands	word	150768
WORD/gebruikt	word	150250
WORD/2006	word	149776
WORD/sinds	word	149513
WORD/omdat	word	149512
WORD/wat	word	149001
WORD/keversoort	word	148404
WORD/amerikaanse	word	148067
WORD/bekend	word	147048
WORD/4	word	146263
WORD/ligt	word	143534
WORD/weer	word	142324
WORD/left	word	141825
WORD/behoort	word	140898
WORD/2007	word	139488
WORD/2009	word	137617
WORD/club	word	136975
WORD/kreeg	word	136751
WORD/laatste	word	136457
WORD/verschillende	word	134855
WORD/ging	word	134242
WORD/film	word	132776
WORD/per	word	132052
WORD/enkele	word	131590
WORD/insect	word	131293
WORD/2008	word	131130
WORD/maakt	word	130689
WORD/seizoen	word	130494
WORD/rond	word	130005
WORD/één	word	129763
WORD/volgens	word	129476
WORD/franse	word	129384
WORD/lijst	word	128316
WORD/maakte	word	127888
WORD/2005	word	126200
WORD/2004	word	125347
WORD/duitse	word	124925
WORD/speelde	word	123559
WORD/and	word	123465
WORD/2000	word	122779
WORD/volgende	word	122647
WORD/januari	word	121913
WORD/terug	word	121318
WORD/bestaat	word	120829
WORD/mei	word	120758
WORD/la	word	120385
WORD/align	word	119938
WORD/i	word	119258
WORD/land	word	118852
WORD/2011	word	118337
WORD/5	word	116371
WORD/2012	word	116168
WORD/kerk	word	115157
WORD/juni	word	114472
WORD/ongeveer	word	114187
WORD/alleen	word	114082
WORD/september	word	112972
WORD/10	word	112587
WORD/af	word	112447
WORD/groot	word	112415
WORD/daar	word	112065
WORD/m	word	111862
WORD/oppervlakte	word	111110
WORD/vooral	word	110091
WORD/orde	word	109685
WORD/6	word	109353
WORD/vier	word	109339
WORD/eigen	word	109324
WORD/2001	word	109287
WORD/oktober	word	108918
WORD/verder	word	108890
WORD/genoemd	word	108878
WORD/vaak	word	108088
WORD/maart	word	107406
WORD/won	word	106386
WORD/regio	word	105404
WORD/augustus	word	105394
WORD/juli	word	105116
WORD/april	word	104956
WORD/nu	word	103987
WORD/waarin	word	103643
WORD/werk	word	103567
WORD/binnen	word	103025
WORD/meter	word	102794
WORD/december	word	102633
WORD/2013	word	102364
WORD/maken	word	101911
WORD/leven	word	101778
WORD/kon	word	101676
WORD/amsterdam	word	101376
WORD/hier	word	100335
WORD/2014	word	99713
WORD/nam	word	99625
WORD/november	word	99582
WORD/2002	word	98860
WORD/waarbij	word	98129
WORD/keer	word	97071
WORD/album	word	96489
WORD/komen	word	95902
WORD/zoon	word	95657
WORD/12	word	95510
WORD/oude	word	93855
WORD/1999	word	93351
WORD/derde	word	92966
WORD/ii	word	92841
WORD/via	word	92631
WORD/mensen	word	92555
WORD/den	word	92324
WORD/2003	word	92188
WORD/zelf	word	91976
WORD/staten	word	91360
WORD/zuid	word	91297
WORD/koning	word	90543
WORD/verenigde	word	89962
WORD/sint	word	89442
WORD/februari	word	89395
WORD/7	word	89298
WORD/2015	word	89142
WORD/gaan	word	89099
WORD/weg	word	88999
WORD/begon	word	88252
WORD/groep	word	87718
WORD/8	word	87523
WORD/gaat	word	87147
WORD/s	word	86743
WORD/elkaar	word	86565
WORD/ter	word	86216
WORD/nummer	word	86086
WORD/jan	word	85939
WORD/begin	word	85793
WORD/kleine	word	84920
WORD/20	word	84824
WORD/new	word	83214
WORD/water	word	83090
WORD/zeer	word	82612
WORD/waarvan	word	82355
WORD/steeds	word	81918
WORD/volkstelling	word	81871
WORD/mee	word	81789
WORD/lid	word	81454
WORD/periode	word	81227
WORD/15	word	81046
WORD/gebouwd	word	80008
WORD/gebruik	word	79700
WORD/2016	word	79555
WORD/ronde	word	79362
WORD/gemaakt	word	79102
WORD/band	word	78930
WORD/man	word	78414
WORD/spelen	word	78342
WORD/dus	word	78195
WORD/station	word	78189
WORD/zowel	word	77970
WORD/30	word	77951
WORD/daarna	word	77585
WORD/moet	word	76728
WORD/vader	word	76625
WORD/naast	word	76406
WORD/noord	word	76103
WORD/beide	word	75996
WORD/nadat	word	75867
WORD/waardoor	word	75804
WORD/toe	word	75637
WORD/11	word	75373
WORD/universiteit	word	75101
WORD/slechts	word	74673
WORD/moest	word	74635
WORD/uiteindelijk	word	74220
WORD/frankrijk	word	74208
WORD/nieuw	word	74172
WORD/zien	word	73860
WORD/enige	word	73202
WORD/hadden	word	73189
WORD/district	word	72722
WORD/16	word	72605
WORD/werken	word	72430
WORD/toont	word	72293
WORD/grootste	word	72084
WORD/9	word	72048
WORD/1998	word	72023
WORD/gezien	word	71871
WORD/mogelijk	word	71756
WORD/west	word	71519
WORD/soorten	word	71443
WORD/bijvoorbeeld	word	71418
WORD/zonder	word	71200
WORD/wereldoorlog	word	71121
WORD/net	word	71091
WORD/opgericht	word	71086
WORD/goed	word	71032
WORD/boven	word	70951
WORD/rol	word	70812
WORD/bleef	word	70787
WORD/huis	word	70704
WORD/belgië	word	70437
WORD/titel	word	69785
WORD/lang	word	69556
WORD/1995	word	69325
WORD/oorlog	word	69259
WORD/serie	word	69195
WORD/stond	word	68978
WORD/opnieuw	word	68854
WORD/figuur	word	68411
WORD/vervolgens	word	68345
WORD/1996	word	68184
WORD/klasse	word	67992
WORD/nationale	word	67979
WORD/vrouw	word	67894
WORD/amerikaans	word	67833
WORD/john	word	67635
WORD/dood	word	67492
WORD/plaatsen	word	67322
WORD/1991	word	67145
WORD/onderstaande	word	67126
WORD/europa	word	67101
WORD/vijf	word	66928
WORD/1997	word	66765
WORD/1994	word	66479
WORD/duitsland	word	66360
WORD/dag	word	66183
WORD/13	word	65560
WORD/europese	word	65489
WORD/dorp	word	65275
WORD/18	word	65164
WORD/landen	word	65120
WORD/14	word	65071
WORD/frans	word	64957
WORD/belgische	word	64910
WORD/geboren	word	64884
WORD/zal	word	64720
WORD/25	word	64526
WORD/2017	word	64222
WORD/kinderen	word	63945
WORD/eind	word	63519
WORD/team	word	63139
WORD/17	word	63030
WORD/indeling	word	62926
WORD/1990	word	62826
WORD/midden	word	62609
WORD/vorm	word	62427
WORD/1992	word	62420
WORD/beschreven	word	62383
WORD/staan	word	61755
WORD/indonesië	word	61635
WORD/boek	word	61453
WORD/britse	word	61329
WORD/daarnaast	word	61222
WORD/gelegen	word	61120
WORD/finale	word	60901
WORD/meestal	word	60792
WORD/partij	word	60583
WORD/gespeeld	word	60530
WORD/100	word	60512
WORD/terwijl	word	60505
WORD/1993	word	60338
WORD/beste	word	60065
WORD/24	word	60052
WORD/wereld	word	59900
WORD/muziek	word	59786
WORD/0	word	59773
WORD/pas	word	59283
WORD/vele	word	59255
WORD/museum	word	59085
WORD/wanneer	word	59000
WORD/waaronder	word	58948
WORD/huidige	word	58931
WORD/bedraagt	word	58770
WORD/departement	word	58709
WORD/top	word	58705
WORD/lange	word	58405
WORD/olympische	word	58380
WORD/afrika	word	58246
WORD/achter	word	58119
WORD/voetballer	word	58081
WORD/census	word	58053
WORD/eiland	word	57945
WORD/tevens	word	57923
WORD/geheel	word	57680
WORD/le	word	57578
WORD/fc	word	57550
WORD/wedstrijd	word	57546
WORD/einde	word	57484
WORD/united	word	57447
WORD/taxonomische	word	56941
WORD/vanwege	word	56791
WORD/school	word	56771
WORD/willem	word	56595
WORD/21	word	56342
WORD/vond	word	56117
WORD/lichaam	word	56073
WORD/hoewel	word	55988
WORD/vanuit	word	55881
WORD/leger	word	55498
WORD/c	word	55300
WORD/dier	word	55239
WORD/1989	word	55232
WORD/soms	word	55215
WORD/wil	word	54706
WORD/lijn	word	54608
WORD/overleden	word	54521
WORD/19	word	54457
WORD/duits	word	54445
WORD/to	word	54124
