item	type	count
WORD/w	word	13400985
WORD/i	word	5263766
WORD/na	word	4137142
WORD/z	word	4086655
WORD/do	word	2878862
WORD/się	word	2541417
WORD/roku	word	1760069
WORD/jest	word	1172051
WORD/od	word	1166512
WORD/a	word	1120915
WORD/przez	word	1054678
WORD/po	word	932715
WORD/oraz	word	843708
WORD/o	word	837928
WORD/jako	word	791578
WORD/nie	word	737370
WORD/został	word	672877
WORD/był	word	647179
WORD/to	word	609341
WORD/1	word	548000
WORD/jego	word	543494
WORD/r	word	494712
WORD/za	word	488276
WORD/latach	word	484081
WORD/ur	word	472180
WORD/dla	word	457520
WORD/pod	word	454722
WORD/2	word	425543
WORD/że	word	418166
WORD/tym	word	409602
WORD/the	word	380461
WORD/polski	word	371280
WORD/ze	word	371229
WORD/3	word	366073
WORD/są	word	365097
WORD/także	word	358312
WORD/miejsce	word	331914
WORD/lub	word	317438
WORD/ii	word	306976
WORD/jak	word	303814
WORD/przy	word	300503
WORD/który	word	299594
WORD/4	word	293894
WORD/również	word	284788
WORD/jej	word	284202
WORD/we	word	283200
WORD/jednak	word	272542
WORD/m	word	271612
WORD/podczas	word	270039
WORD/lat	word	269124
WORD/de	word	264878
WORD/thumb	word	258528
WORD/tego	word	255384
WORD/została	word	253825
WORD/of	word	248109
WORD/była	word	247129
WORD/zm	word	246501
WORD/5	word	242374
WORD/wieku	word	236843
WORD/świata	word	229449
WORD/co	word	229440
WORD/gdzie	word	218651
WORD/które	word	217958
WORD/według	word	214192
WORD/ich	word	211779
WORD/10	word	210299
WORD/6	word	210283
WORD/stycznia	word	200720
WORD/ma	word	192355
WORD/nad	word	191098
WORD/km	word	189254
WORD/polsce	word	185530
WORD/wieś	word	184261
WORD/2007	word	182002
WORD/później	word	181289
WORD/2008	word	181157
WORD/2010	word	179119
WORD/września	word	178917
WORD/2011	word	178470
WORD/u	word	178209
WORD/go	word	177626
WORD/2009	word	176954
WORD/gmina	word	176476
WORD/2006	word	175064
WORD/miasta	word	174571
WORD/maja	word	173443
WORD/też	word	171840
WORD/marca	word	169930
WORD/tej	word	169926
WORD/1998	word	169622
WORD/on	word	169203
WORD/grudnia	word	169027
WORD/wojny	word	168040
WORD/czerwca	word	167385
WORD/przed	word	167119
WORD/października	word	167100
WORD/następnie	word	166920
WORD/powiecie	word	166194
WORD/7	word	166014
WORD/miejscowość	word	164451
WORD/były	word	164190
WORD/pierwszy	word	163518
WORD/2004	word	162944
WORD/8	word	161697
WORD/lipca	word	161645
WORD/nr	word	161358
WORD/ale	word	161093
WORD/s	word	161087
WORD/było	word	160988
WORD/2012	word	160847
WORD/sierpnia	word	160714
WORD/św	word	160231
WORD/20	word	160209
WORD/czasie	word	159467
WORD/ten	word	157774
WORD/2005	word	156429
WORD/kwietnia	word	155914
WORD/12	word	155501
WORD/center	word	154964
WORD/15	word	153113
WORD/która	word	152994
WORD/znajduje	word	152775
WORD/listopada	word	151917
WORD/lutego	word	145182
WORD/części	word	144669
WORD/wraz	word	144522
WORD/już	word	144366
WORD/30	word	143542
WORD/2013	word	140627
WORD/tylko	word	140548
WORD/kraju	word	140049
WORD/miasto	word	139770
WORD/2000	word	138566
WORD/align	word	138506
WORD/osób	word	138372
WORD/9	word	137577
WORD/warszawa	word	137298
WORD/2014	word	136453
WORD/mieszkańców	word	136059
WORD/część	word	134796
WORD/11	word	134337
WORD/dwa	word	134053
WORD/im	word	133400
WORD/2001	word	133275
WORD/którym	word	132093
WORD/2002	word	131242
WORD/mistrzostw	word	130133
WORD/obecnie	word	129929
WORD/stanie	word	129068
