item	type	count
WORD/de	word	20040553
WORD/a	word	8795280
WORD/e	word	7990995
WORD/o	word	7296861
WORD/em	word	5428665
WORD/do	word	5128660
WORD/da	word	4810197
WORD/que	word	4561528
WORD/um	word	3021755
WORD/é	word	2820615
WORD/uma	word	2811620
WORD/no	word	2775119
WORD/com	word	2703117
WORD/para	word	2585047
WORD/na	word	2293293
WORD/se	word	2204185
WORD/por	word	2085317
WORD/os	word	1983922
WORD/foi	word	1946171
WORD/como	word	1704574
WORD/não	word	1387464
WORD/dos	word	1381735
WORD/as	word	1339533
WORD/ao	word	1099329
WORD/mais	word	1071814
WORD/sua	word	1008617
WORD/utc	word	903543
WORD/são	word	861745
WORD/seu	word	851126
WORD/ou	word	811355
WORD/das	word	788984
WORD/à	word	706873
WORD/ser	word	667851
WORD/também	word	649762
WORD/pela	word	626906
WORD/the	word	622041
WORD/pelo	word	609586
WORD/ele	word	582490
WORD/mas	word	563217
WORD/entre	word	526179
WORD/nos	word	462135
WORD/sobre	word	431798
WORD/anos	word	429337
WORD/era	word	426970
WORD/tem	word	412995
WORD/of	word	403182
WORD/até	word	380118
WORD/1	word	375801
WORD/cidade	word	366052
WORD/discussão	word	356697
WORD/quando	word	356486
WORD/foram	word	355593
WORD/seus	word	346666
WORD/já	word	325197
WORD/onde	word	325110
WORD/grande	word	323302
WORD/mesmo	word	323165
WORD/janeiro	word	318850
WORD/2	word	313670
WORD/brasil	word	306841
WORD/está	word	300193
WORD/rio	word	300168
WORD/nas	word	296629
WORD/depois	word	293292
WORD/durante	word	290664
WORD/após	word	287261
WORD/2008	word	284782
WORD/ano	word	280576
WORD/primeiro	word	279682
WORD/pode	word	275721
WORD/estado	word	275340
WORD/parte	word	275164
WORD/3	word	272565
WORD/sendo	word	270624
WORD/ela	word	267351
WORD/2007	word	266407
WORD/primeira	word	264852
WORD/ainda	word	262318
WORD/dois	word	257268
WORD/s	word	256630
WORD/outros	word	254586
WORD/este	word	253172
WORD/suas	word	247989
WORD/muito	word	247819
WORD/sem	word	247401
WORD/dia	word	245952
WORD/nome	word	242329
WORD/aos	word	239390
WORD/segundo	word	238455
WORD/apenas	word	237765
WORD/artigo	word	232228
WORD/esta	word	229787
WORD/ter	word	225721
WORD/estados	word	224603
WORD/2006	word	222160
WORD/região	word	221845
WORD/sul	word	220666
WORD/2009	word	219179
WORD/2010	word	214018
WORD/thumb	word	213652
WORD/4	word	212871
WORD/isso	word	211888
WORD/maior	word	209865
WORD/norte	word	206976
WORD/março	word	205464
WORD/todos	word	205314
WORD/abril	word	203575
WORD/2011	word	201237
WORD/vez	word	201101
WORD/julho	word	199793
WORD/outubro	word	199472
WORD/maio	word	198937
WORD/setembro	word	198829
WORD/agosto	word	198576
WORD/nova	word	198496
WORD/forma	word	197555
WORD/contra	word	197499
WORD/grupo	word	196650
WORD/paulo	word	195582
WORD/área	word	195338
WORD/tempo	word	195199
WORD/então	word	194280
WORD/and	word	193944
WORD/assim	word	193010
WORD/três	word	192425
WORD/unidos	word	192219
WORD/além	word	191588
WORD/família	word	191541
WORD/álbum	word	191019
WORD/dezembro	word	190054
WORD/jogos	word	189405
WORD/série	word	188825
WORD/²	word	187990
WORD/2012	word	187904
WORD/junho	word	186160
WORD/fevereiro	word	183805
WORD/filme	word	183323
WORD/novembro	word	183005
WORD/desde	word	181692
WORD/futebol	word	180423
WORD/2013	word	178730
WORD/duas	word	178418
WORD/5	word	178400
WORD/mundo	word	176754
WORD/bem	word	174319
WORD/eu	word	172244
WORD/guerra	word	172202
WORD/10	word	171582
WORD/melhor	word	171545
WORD/final	word	170335
WORD/sido	word	169622
WORD/há	word	168784
WORD/história	word	167598
WORD/banda	word	166514
WORD/qual	word	166054
WORD/nacional	word	165574
WORD/in	word	164585
WORD/às	word	162986
WORD/só	word	161263
WORD/alguns	word	160440
WORD/antes	word	159677
WORD/população	word	157645
WORD/outras	word	155399
WORD/cada	word	154857
WORD/eles	word	152484
WORD/6	word	150872
WORD/pelos	word	150199
WORD/brasileiro	word	150084
WORD/la	word	149866
WORD/possui	word	149829
WORD/lista	word	149469
WORD/principal	word	148231
WORD/7	word	146367
WORD/partir	word	145197
WORD/tinha	word	145171
WORD/dias	word	144711
WORD/música	word	143565
WORD/redirecionamento	word	143278
WORD/teve	word	143206
WORD/vida	word	142529
WORD/20	word	140918
WORD/15	word	140827
WORD/país	word	139361
WORD/2014	word	138430
WORD/tendo	word	137927
WORD/km	word	137710
WORD/n	word	137559
WORD/campeonato	word	137324
WORD/segunda	word	136888
WORD/i	word	136122
WORD/novo	word	136074
WORD/12	word	135797
WORD/pessoas	word	135719
WORD/portugal	word	134660
WORD/2005	word	133984
WORD/enquanto	word	133668
WORD/2000	word	133009
WORD/clube	word	132924
WORD/município	word	132762
WORD/caso	word	130627
WORD/espécie	word	128976
WORD/vezes	word	128241
WORD/8	word	127873
WORD/me	word	127802
WORD/sistema	word	126741
WORD/11	word	126530
WORD/universidade	word	126235
WORD/2016	word	125917
WORD/casa	word	125488
WORD/joão	word	125258
WORD/americano	word	125219
WORD/fez	word	124834
WORD/josé	word	124711
WORD/século	word	124687
WORD/trabalho	word	124642
WORD/período	word	124621
WORD/estava	word	124597
WORD/número	word	124080
WORD/seja	word	123631
WORD/presidente	word	123364
WORD/14	word	123078
WORD/lugar	word	123013
WORD/pois	word	122949
WORD/fazer	word	122826
WORD/30	word	122660
WORD/jogo	word	122596
WORD/filho	word	122577
WORD/outro	word	122383
WORD/governo	word	122321
WORD/habitantes	word	121441
WORD/através	word	121106
WORD/acordo	word	120912
WORD/16	word	120621
WORD/2015	word	120208
WORD/2004	word	120064
WORD/página	word	119836
WORD/9	word	119262
WORD/18	word	119014
WORD/essa	word	118656
WORD/d	word	118471
WORD/vários	word	118427
WORD/podem	word	118303
WORD/artigos	word	118264
WORD/13	word	118165
WORD/17	word	117557
WORD/m	word	117543
WORD/estão	word	117331
WORD/mundial	word	116090
WORD/esse	word	116034
WORD/canção	word	115441
WORD/conhecido	word	114086
WORD/qualquer	word	113745
WORD/centro	word	113731
WORD/título	word	111608
WORD/lançado	word	111593
WORD/num	word	111292
WORD/quatro	word	110282
WORD/edição	word	110257
WORD/cerca	word	110089
WORD/igreja	word	109940
WORD/início	word	108855
WORD/época	word	108716
WORD/eram	word	108362
WORD/21	word	108245
WORD/sob	word	107845
WORD/terra	word	107790
WORD/devido	word	107592
WORD/exemplo	word	107446
WORD/todo	word	107421
WORD/todas	word	107117
WORD/algumas	word	107007
WORD/maria	word	106832
WORD/categoria	word	106547
WORD/quem	word	105676
WORD/25	word	105052
WORD/19	word	104903
WORD/rei	word	104008
WORD/22	word	103878
