item	type	count
WORD/в	word	26814251
WORD/и	word	16331243
WORD/на	word	8793991
WORD/с	word	6985456
WORD/не	word	4530572
WORD/по	word	4369377
WORD/года	word	3719546
WORD/utc	word	3216279
WORD/что	word	2980468
WORD/а	word	2946604
WORD/из	word	2940111
WORD/году	word	2635014
WORD/к	word	2504011
WORD/как	word	2133626
WORD/для	word	2120098
WORD/за	word	1955357
WORD/был	word	1923190
WORD/от	word	1919484
WORD/его	word	1712235
WORD/о	word	1614907
WORD/он	word	1471934
WORD/это	word	1422506
WORD/до	word	1381515
WORD/но	word	1366122
WORD/то	word	1265831
WORD/1	word	1196875
WORD/также	word	1150500
WORD/или	word	1143391
WORD/при	word	1123119
WORD/после	word	1106165
WORD/я	word	1103993
WORD/2	word	1094963
WORD/у	word	999726
WORD/было	word	965093
WORD/во	word	959123
WORD/была	word	933496
WORD/г	word	909563
WORD/же	word	907495
WORD/так	word	894700
WORD/3	word	885568
WORD/время	word	883902
WORD/были	word	864641
WORD/м	word	849213
WORD/10	word	783587
WORD/15	word	697523
WORD/4	word	697332
WORD/их	word	696649
WORD/под	word	690272
WORD/если	word	680715
WORD/2010	word	674652
WORD/области	word	672567
WORD/12	word	669653
WORD/5	word	666432
WORD/только	word	661985
WORD/20	word	657062
WORD/её	word	633280
WORD/11	word	631218
WORD/the	word	623612
WORD/18	word	615135
WORD/год	word	611828
WORD/более	word	610700
WORD/16	word	602072
WORD/есть	word	600961
WORD/ноября	word	599507
WORD/14	word	594700
WORD/мая	word	590502
WORD/где	word	588377
WORD/13	word	586144
WORD/января	word	586046
WORD/2011	word	583108
WORD/2012	word	582809
WORD/17	word	580028
WORD/2009	word	579517
WORD/декабря	word	578957
WORD/марта	word	578070
WORD/со	word	572285
WORD/19	word	563282
WORD/й	word	561839
WORD/россии	word	556753
WORD/все	word	551891
WORD/октября	word	549618
WORD/августа	word	547924
WORD/является	word	547578
WORD/сентября	word	546183
WORD/км	word	540876
WORD/том	word	538864
WORD/статьи	word	538834
WORD/апреля	word	525887
WORD/июля	word	525324
WORD/который	word	524367
WORD/6	word	523266
WORD/2008	word	519866
WORD/июня	word	519662
WORD/февраля	word	507721
WORD/21	word	498777
WORD/лет	word	495097
WORD/уже	word	495045
WORD/того	word	494310
WORD/2013	word	490742
WORD/они	word	486261
WORD/она	word	481382
WORD/2015	word	479814
WORD/2014	word	473045
WORD/22	word	467950
WORD/человек	word	465760
WORD/может	word	465685
WORD/2007	word	462913
WORD/8	word	455929
WORD/7	word	455149
WORD/ссср	word	453212
WORD/можно	word	452376
WORD/2016	word	448930
WORD/этого	word	443873
WORD/однако	word	443459
WORD/когда	word	442816
WORD/которые	word	442776
WORD/25	word	438900
WORD/н	word	435390
WORD/бы	word	434942
WORD/этом	word	429464
WORD/23	word	427003
WORD/нет	word	423233
WORD/30	word	413095
WORD/ещё	word	411580
WORD/of	word	410221
WORD/9	word	405527
WORD/стал	word	403508
WORD/чтобы	word	399174
WORD/войны	word	397582
WORD/быть	word	393335
WORD/вы	word	389321
WORD/thumb	word	387277
WORD/2006	word	381044
WORD/города	word	377195
WORD/статья	word	375533
WORD/2017	word	374215
WORD/районе	word	369475
WORD/сша	word	364382
WORD/24	word	363016
WORD/один	word	362286
WORD/между	word	358091
