item	type	count
WORD/，	word	18265566
WORD/的	word	11700054
WORD/。	word	10942982
WORD/、	word	5071277
WORD/|	word	5047887
WORD/年	word	4981818
WORD/（	word	4155482
WORD/）	word	4150596
WORD/在	word	3139827
WORD/是	word	2454758
WORD/月	word	2452190
WORD/-	word	2352410
WORD/:	word	2108563
WORD/：	word	2019775
WORD/日	word	1698272
WORD/和	word	1679955
WORD/》	word	1492896
WORD/《	word	1492891
WORD/了	word	1447908
WORD/於	word	1445921
WORD/category	word	1409973
WORD/,	word	1199423
WORD/為	word	1132738
WORD/·	word	1080531
WORD/」	word	1050455
WORD/「	word	1050415
WORD/.	word	990540
WORD/有	word	963527
WORD/)	word	956889
WORD/(	word	951391
WORD/被	word	885369
WORD/中	word	864912
WORD/人	word	861717
WORD/與	word	823724
WORD/"	word	801405
WORD/他	word	791641
WORD/为	word	755762
WORD/小行星	word	738939
WORD/也	word	728647
WORD/1	word	722678
WORD/後	word	720811
WORD/“	word	689678
WORD/”	word	688094
WORD/而	word	640461
WORD/由	word	614687
WORD/2	word	577660
WORD/上	word	573742
WORD/3	word	549462
WORD/；	word	540378
WORD/等	word	540088
WORD/以	word	479910
WORD/4	word	474070
WORD/=	word	469400
WORD/及	word	457409
WORD/10	word	450697
WORD/但	word	445735
WORD/到	word	417004
WORD/5	word	411755
WORD/一个	word	401830
WORD/9	word	394299
WORD/之	word	392547
WORD/与	word	391171
WORD/日本	word	390323
WORD/都	word	376945
WORD/8	word	376759
WORD/12	word	374609
WORD/第	word	374252
WORD//	word	368941
WORD/6	word	367379
WORD/7	word	363232
WORD/香港	word	355334
WORD/'	word	347627
WORD/對	word	344350
WORD/其	word	340577
WORD/中国	word	339653
WORD/至	word	336266
WORD/11	word	328989
WORD/—	word	328629
WORD/于	word	328300
WORD/或	word	326781
WORD/不	word	311513
WORD/研究	word	291757
WORD/可以	word	289723
WORD/使用	word	284844
WORD/來	word	277803
WORD/后	word	277281
WORD/the	word	274993
WORD/會	word	262665
WORD/軍	word	260095
WORD/;	word	251954
WORD/并	word	250008
WORD/站	word	248301
WORD/就	word	244443
WORD/時	word	241932
WORD/所	word	240832
WORD/臺	word	236099
WORD/她	word	234461
WORD/－	word	232005
WORD/公司	word	231582
WORD/一個	word	230970
WORD/以及	word	227987
WORD/下	word	224697
WORD/曾	word	222918
WORD/其中	word	219271
WORD/of	word	217673
WORD/{	word	214494
WORD/長	word	212907
WORD/位	word	212403
WORD/近地	word	211029
WORD/主要	word	207875
WORD/}	word	206511
WORD/包括	word	205499
WORD/大	word	205454
WORD/新	word	205390
WORD/重定向	word	204590
WORD/平方公里	word	203469
WORD/又	word	202138
WORD/世界	word	200648
WORD/前	word	199086
WORD/人口	word	197239
WORD/馬	word	194187
WORD/製	word	191929
WORD/对	word	186949
WORD/最	word	186552
WORD/米	word	185765
WORD/地	word	185181
WORD/zh	word	184494
WORD/将	word	184409
WORD/台灣	word	183689
WORD/2009	word	179083
WORD/自己	word	178105
WORD/市镇	word	177871
WORD/20	word	176822
WORD/亦	word	176545
WORD/2008	word	173600
WORD/时	word	173123
WORD/2010	word	172232
WORD/美國	word	170621
WORD/因此	word	170378
WORD/從	word	169818
WORD/美国	word	166080
WORD/其他	word	165603
WORD/2006	word	165418
WORD/政府	word	165252
WORD/a	word	164080
WORD/個	word	163304
WORD/向	word	161946
WORD/2001	word	161274
WORD/2007	word	159537
WORD/2005	word	158524
WORD/它	word	158296
WORD/2011	word	157950
WORD/已	word	157886
WORD/可	word	157474
WORD/成立	word	156106
WORD/中國	word	154296
WORD/小组	word	153632
WORD/之一	word	152035
WORD/2012	word	151797
WORD/多	word	151155
WORD/更	word	150920
WORD/索	word	150241
WORD/林肯	word	149662
WORD/该	word	149449
WORD/中心	word	147335
WORD/政治	word	146339
WORD/科罗	word	146081
WORD/人物	word	145870
WORD/位于	word	145587
WORD/15	word	144711
WORD/2000	word	143693
WORD/作品	word	143682
WORD/道	word	143390
WORD/足球	word	142950
WORD/說	word	142199
WORD/2013	word	141792
WORD/一	word	141520
WORD/30	word	141350
WORD/2014	word	138485
WORD/小	word	135396
WORD/工作	word	135161
WORD/[	word	134908
WORD/]	word	134811
WORD/開始	word	133526
WORD/年代	word	132719
WORD/內	word	130693
WORD/2004	word	130221
WORD/代表	word	130007
WORD/太空	word	129253
WORD/可能	word	129250
WORD/名	word	128998
WORD/不同	word	128476
WORD/副	word	127648
WORD/電影	word	127578
WORD/地区	word	126751
WORD/16	word	126600
WORD/о	word	126451
WORD/2016	word	126038
WORD/从	word	125809
WORD/2015	word	125726
WORD/我	word	125141
WORD/2002	word	124328
WORD/–	word	124271
WORD/因為	word	123886
WORD/第一	word	123791
WORD/用	word	123756
WORD/表示	word	123265
WORD/s	word	122962
WORD/因	word	122610
WORD/а	word	122257
WORD/and	word	122165
WORD/該	word	121576
WORD/峰	word	120161
WORD/陳	word	119982
WORD/18	word	119870
WORD/約	word	119815
WORD/2003	word	119506
WORD/把	word	118998
WORD/成為	word	118410
WORD/基特	word	116936
WORD/公里	word	116728
WORD/ー	word	116596
WORD/省	word	116584
WORD/监视	word	116549
WORD/19	word	115511
WORD/作	word	115250
WORD/・	word	115179
WORD/文化	word	114812
WORD/14	word	114627
WORD/个	word	114138
WORD/大學	word	113149
WORD/13	word	113031
WORD/号	word	112975
WORD/使	word	112663
WORD/自	word	112470
WORD/部分	word	112165
WORD/此	word	111820
WORD/要	word	111534
WORD/17	word	111461
WORD/一些	word	111270
WORD/21	word	111269
WORD/正式	word	110989
WORD/即	word	110775
WORD/所有	word	110288
WORD/0	word	109511
WORD/進行	word	108912
WORD/提供	word	107754
WORD/这	word	107382
WORD/25	word	106840
WORD/!	word	106795
WORD/能	word	106684
WORD/开始	word	106243
WORD/国家	word	105654
WORD/行政	word	105588
